cos_day,rh_7d,rh_3d,RH2M,rh_lag_2,rh_lag_7,high_humidity,WS10M,wind_3d,sin_day,rh_lag_3,rain_14d,T2M,temp_lag_7,rain_lag_3,PRECTOTCORR,rain_3d,rain_7d,temp_range,rain_lag_1,month,date,target_3d,target_5d,target_7d,target_score_5d
-0.9893142039703664,86.44857142857144,85.76999999999998,85.66,85.68,87.87,1,7.55,6.963333333333332,0.1457991969198751,85.77,46.23999999999999,29.09,28.75,0.86,4.32,8.760000000000014,10.09999999999996,0.4399999999999977,2.57,6,2023-06-23,1.0,1.0,1.0,0.9923418059376669
-0.99167731989929,86.28285714285714,85.90999999999997,86.1,85.97,87.26,1,7.95,7.506666666666665,0.1287481774525813,85.68,41.79999999999998,28.89,28.61,1.87,5.05,11.940000000000015,15.01999999999996,0.3599999999999994,4.32,6,2023-06-24,1.0,1.0,1.0,1.0
-0.993746580436178,85.69142857142857,85.32666666666664,84.22,85.66,88.36,1,7.74,7.746666666666665,0.1116590071216951,85.97,37.06999999999999,29.05,28.63,2.57,2.24,11.610000000000014,17.049999999999958,0.4100000000000001,5.05,6,2023-06-25,1.0,1.0,1.0,1.0
-0.9955213724144752,85.54857142857142,85.25333333333332,85.44,86.1,86.44,1,7.75,7.813333333333333,0.0945367498171991,85.66,34.93999999999998,28.91,28.9,4.32,3.55,10.840000000000014,20.45999999999996,0.4499999999999993,2.24,6,2023-06-26,1.0,1.0,1.0,1.0
-0.9970011699250152,85.86285714285714,85.87666666666665,87.97,84.22,85.77,1,8.2,7.896666666666666,0.077386479233463,86.1,42.67999999999999,28.45,28.96,5.05,12.73,18.52000000000001,32.32999999999996,0.3699999999999974,3.55,6,2023-06-27,1.0,1.0,1.0,1.0
-0.9981855344718586,86.21142857142856,87.17666666666666,88.12,85.44,85.68,1,8.5,8.149999999999999,0.060213277365793,84.22,80.1,28.37,28.98,2.24,44.5,60.780000000000015,74.95999999999995,0.5699999999999967,12.73,6,2023-06-28,1.0,1.0,1.0,1.0
-0.99907411510223,86.60000000000001,88.25999999999999,88.69,87.97,85.97,1,8.4,8.366666666666665,0.0430222330045305,85.44,91.84999999999998,28.26,29.03,3.55,13.48,70.71000000000001,85.86999999999996,0.5,44.5,6,2023-06-29,1.0,1.0,1.0,1.0
-0.9996666485105112,86.87142857142855,88.12333333333332,87.56,88.12,85.66,1,9.29,8.729999999999999,0.025818440227133,87.97,98.93999999999998,28.38,29.09,12.73,7.29,65.27000000000001,88.83999999999995,0.6000000000000014,13.48,6,2023-06-30,1.0,1.0,1.0,0.9758222806225104
-0.9999629591162656,86.67571428571429,86.99333333333333,84.73,88.69,86.1,1,9.73,9.14,0.0086069968886886,88.12,101.51,28.67,28.89,44.5,2.7,23.470000000000013,86.48999999999995,0.3099999999999987,7.29,7,2023-07-01,1.0,1.0,1.0,0.9797027060321108
-0.9999629591162656,86.82857142857142,85.85999999999997,85.29,87.56,84.22,1,10.25,9.756666666666666,-0.008606996888688,88.69,105.23,28.56,29.05,13.48,3.93,13.920000000000014,88.17999999999996,0.1699999999999981,2.7,7,2023-07-02,1.0,1.0,1.0,0.9889418141502072
-0.9996666485105112,86.99,85.52999999999997,86.57,84.73,85.44,1,10.01,9.996666666666666,-0.0258184402271323,87.56,112.34,28.36,28.91,7.29,7.25,13.880000000000011,91.87999999999997,0.3099999999999987,3.93,7,2023-07-03,1.0,1.0,1.0,0.9875744261487288
-0.99907411510223,86.9157142857143,86.43666666666665,87.45,85.29,87.97,1,9.8,10.02,-0.0430222330045303,84.73,127.27,27.92,28.45,2.7,15.79,26.970000000000013,94.93999999999996,0.3500000000000014,7.25,7,2023-07-04,1.0,1.0,1.0,0.9837432759824252
-0.9981855344718586,86.80428571428571,87.11999999999999,87.34,86.57,88.12,1,10.42,10.076666666666666,-0.0602132773657927,85.29,136.51,27.92,28.37,3.93,11.11,34.15000000000001,61.54999999999995,0.2100000000000008,15.79,7,2023-07-05,1.0,1.0,1.0,0.9754773539194348
-0.9970011699250152,86.48,87.06999999999998,86.42,87.45,88.69,1,11.61,10.61,-0.0773864792334632,86.57,150.57,27.94,28.26,7.25,16.63,43.530000000000015,64.69999999999996,0.2700000000000031,11.11,7,2023-07-06,1.0,1.0,1.0,0.9567527614667596
-0.9955213724144752,86.3257142857143,86.74666666666666,86.48,87.34,87.56,1,11.49,11.173333333333332,-0.0945367498171993,87.45,161.03999999999996,27.98,28.38,15.79,14.79,42.530000000000015,72.19999999999995,0.4499999999999993,16.63,7,2023-07-07,1.0,1.0,1.0,0.944507863507576
-0.993746580436178,86.42142857142858,86.09999999999998,85.4,86.42,84.73,1,10.7,11.266666666666666,-0.1116590071216944,87.34,157.57999999999998,27.93,28.67,11.11,1.59,33.01000000000001,71.08999999999995,0.2300000000000004,14.79,7,2023-07-08,1.0,1.0,1.0,0.9378803432841948
-0.99167731989929,86.35285714285715,85.56333333333332,84.81,86.48,85.29,1,9.14,10.443333333333332,-0.1287481774525806,86.42,156.15999999999997,27.93,28.56,16.63,0.82,17.20000000000001,67.97999999999995,0.1799999999999997,1.59,7,2023-07-09,1.0,1.0,1.0,0.9300948548433456
-0.9893142039703664,86.10714285714286,85.01999999999998,84.85,85.4,86.57,1,7.18,9.006666666666666,-0.1457991969198744,86.48,153.15,27.85,28.36,14.79,0.54,2.950000000000011,61.26999999999995,0.1900000000000012,0.82,7,2023-07-10,1.0,1.0,1.0,0.9297992033835668
-0.9866579328916572,85.48714285714286,84.25666666666665,83.11,84.81,87.45,1,7.8,8.04,-0.1628070129385164,85.4,141.01,28.23,27.92,1.59,0.59,1.9500000000000104,46.06999999999995,0.7100000000000009,0.54,7,2023-07-11,1.0,1.0,1.0,0.93031659343818
-0.9837092937736098,85.16142857142857,84.33999999999997,85.06,84.85,87.34,1,8.19,7.723333333333332,-0.1797665857255621,84.81,97.67999999999998,28.25,27.92,0.82,1.17,2.3000000000000105,36.12999999999995,0.1799999999999997,0.59,7,2023-07-12,1.0,1.0,1.0,0.9359586087956308
-0.980469160361632,85.1557142857143,84.84999999999998,86.38,83.11,86.42,1,9.58,8.523333333333332,-0.1966728897935762,84.85,95.45,28.06,27.94,0.54,11.25,13.01000000000001,30.74999999999995,0.4400000000000013,1.17,7,2023-07-13,1.0,1.0,1.0,0.9381390383115016
-0.9769384927771816,85.33571428571429,86.39333333333332,87.74,85.06,86.48,1,8.81,8.859999999999998,-0.2135209154397959,83.11,96.62999999999998,27.93,27.98,0.59,8.47,20.89000000000001,24.42999999999995,0.3200000000000003,11.25,7,2023-07-14,1.0,1.0,1.0,0.940294830205724
-0.973118337233262,85.27142857142857,86.35666666666664,84.95,86.38,85.4,1,8.51,8.966666666666667,-0.2303056702306119,85.06,95.28,28.15,27.93,1.17,1.35,21.07000000000001,24.18999999999995,0.1999999999999993,8.47,7,2023-07-15,1.0,1.0,1.0,0.9327557179813576
-0.9690098257244064,85.09714285714287,85.42666666666666,83.59,87.74,84.81,1,9.04,8.786666666666667,-0.2470221804809352,86.38,92.59,28.33,27.93,11.25,1.24,11.060000000000011,24.60999999999996,0.2699999999999996,1.35,7,2023-07-16,1.0,1.0,1.0,0.926399211596107
-0.9646141756912436,84.91571428571429,84.03999999999998,83.58,84.95,84.85,1,9.76,9.103333333333332,-0.2636654927280072,87.74,90.46,28.24,27.85,8.47,5.12,7.710000000000011,29.18999999999995,0.2100000000000008,1.24,7,2023-07-17,1.0,1.0,1.0,0.9346158584158007
-0.9599326896597444,85.04285714285713,83.72333333333331,84.0,83.59,83.11,1,10.89,9.896666666666668,-0.2802306751992161,84.95,77.02999999999999,28.0,28.23,1.35,2.36,8.72000000000001,30.95999999999995,0.3500000000000014,5.12,7,2023-07-18,1.0,1.0,1.0,0.9421672894509916
-0.9549667548552552,84.89428571428572,83.86666666666665,84.02,83.58,85.06,1,10.99,10.546666666666669,-0.2967128192734901,83.59,68.83999999999997,28.0,28.25,1.24,2.92,10.400000000000013,32.70999999999995,0.4399999999999977,2.36,7,2023-07-19,1.0,1.0,1.0,0.9395803391779244
